代碼,法條名稱,狀態
01129,職業介紹法,廢止
01130,農會法,現行
01131,漁會法,現行
01132,工會法,現行
01133,工業團體法,現行
01134,商業團體法,現行
01135,教育會法,現行
01136,合作社法,現行
01137,中華民國紅十字會法,廢止
01139,勞動基準法,現行
01140,工廠法,現行
01141,勞動檢查法,現行
01142,職業安全衛生法,現行
01143,勞資爭議處理法,現行
01144,團體協約法,現行
01145,最低工資法,廢止
01146,勞動契約法,現行
01147,職工福利金條例,現行
01148,勞工保險條例,現行
01150,土地法,現行
01151,土地法施行法,現行
01152,耕地三七五減租條例,現行
01153,實施耕者有其田條例,廢止
01154,平均地權條例,現行
01155,農地重劃條例,現行
01156,區域計畫法,現行
01157,水陸地圖審查條例,廢止
01158,建築法,現行
01159,建築師法,現行
01160,國民住宅條例,廢止
01161,都市計畫法,現行
01162,市區道路條例,現行
01163,工程受益費徵收條例,現行
01164,自來水法,現行
01165,下水道法,現行
01166,警察法,現行
01167,警察人員人事條例,現行
01168,警察教育條例,現行
01169,警察服制條例,現行
01170,警察勤務條例,現行
01171,警械使用條例,現行
01172,違警罰法,廢止
01173,警察獎章條例,現行
01174,自衛槍枝管理條例,現行
01175,槍砲彈藥刀械管制條例,現行
01176,著作權法,現行
01177,公職人員選舉罷免法,現行
01178,消防法,現行
01179,少年福利法,廢止
01180,消費者保護法,現行
01181,農民健康保險條例,現行
01183,社會秩序維護法,現行
01186,營造業法,現行
01187,公寓大廈管理條例,現行
01189,全民健康保險法,現行
01191,都市更新條例,現行
01192,保全業法,現行
01194,新市鎮開發條例,現行
01195,都市危險及老舊建築物加速重建條例,現行
01199,集會遊行法,現行
01201,政黨法,現行
01202,臺灣警察專科學校組織條例,現行
01203,入出國及移民法,現行
01204,第一屆資深中央民意代表自願退職條例,現行
01206,不動產經紀業管理條例,現行
01207,租賃住宅市場發展及管理條例,現行
01208,民防法,現行
01209,內政部警政署保安警察總隊組織通則,廢止
01210,中華民國領海及鄰接區法,現行
01211,原住民族語言發展法,現行
01212,原住民族基本法,現行
01215,行政院海岸巡防署組織法,現行
01216,海岸管理法,現行
01218,政治獻金法,現行
01220,內政部警政署國家公園警察大隊組織條例,廢止
01221,內政部警政署刑事警察局組織條例,廢止
01222,內政部警政署國道公路警察局組織條例,廢止
01224,二二八事件處理及賠償條例,現行
01227,原住民身分法,現行
01228,社會工作師法,現行
01229,土地徵收條例,現行
01230,國民年金法,現行
01231,國家風景區管理處組織通則,現行
01232,農村社區土地重劃條例,現行
01233,老年農民福利津貼暫行條例,現行
01234,兒童及少年性剝削防制條例,現行
01235,離島建設條例,現行
01236,內政部消防署組織條例,現行
01237,性侵害犯罪防治法,現行
01239,內政部建築研究所組織條例,廢止
01240,敬老福利生活津貼暫行條例,廢止
01242,著作權集體管理團體條例,現行
01248,災害防救法,現行
01249,共同管道法,現行
01250,內政部兒童局組織條例,廢止
01251,內政部警政署航空警察局組織條例,廢止
01252,內政部警政署警察電訊所組織條例,廢止
01253,家庭暴力防治法,現行
01254,國土計畫法,現行
01255,刑事案件確定後去氧核醣核酸鑑定條例,現行
01256,去氧核醣核酸採樣條例,現行
01257,內政部警政署水上警察局組織條例,廢止
01258,花東地區發展條例,現行
01260,內政部移民署組織法,現行
01263,中華民國專屬經濟海域及大陸礁層法,現行
01266,地籍清理條例,現行
01269,地政士法,現行
01274,公益勸募條例,現行
01275,性騷擾防治法,現行
01277,海岸巡防法,現行
01279,行政院海岸巡防署海洋巡防總局組織條例,現行
01280,行政院海岸巡防署海岸巡防總局各地區巡防局組織通則,現行
01281,行政院海岸巡防署海岸巡防總局組織條例,現行
01282,特殊境遇家庭扶助條例,現行
01286,內政部役政署組織條例,廢止
01287,志願服務法,現行
01290,住宅法,現行
01294,警察刑事紀錄證明核發條例,現行
01295,當舖業法,現行
01296,內政部消防署港務消防隊組織通則,現行
01301,駐外使領館組織條例,現行
01302,外交部外交領事人員講習所組織條例,現行
01303,護照條例,現行
01304,引渡法,現行
01305,解決國家與他國國民間投資爭端公約施行條例,廢止
01306,駐華外國機構及其人員特權暨豁免條例,現行
01307,外交部領事事務局組織條例,現行
01308,外交部外交及國際事務學院組織法,現行
01309,條約締結法,現行
01311,外國護照簽證條例,現行
01313,外交部及駐外館處文件證明條例,現行
01314,外交部領事事務局組織法,現行
01401,國防部參謀本部組織條例（民國67年）,廢止
01402,後備軍人會組織通則,廢止
01403,陸海空軍軍官服役條例,廢止
01404,陸海空軍士官服役條例,廢止
01405,志願士兵服役條例,現行
01406,陸海空軍軍官士官任官條例,現行
01407,陸海空軍軍官士官任職條例,現行
01408,陸海空軍軍官士官考績條例,現行
01409,軍人保險條例,現行
01410,陸海空軍勳賞條例,現行
01411,陸海空軍獎勵條例,現行
01412,空軍勛獎條例,現行
01413,軍人婚姻條例,廢止
01414,反共抗俄戰士授田條例,廢止
01415,軍人及其家屬優待條例,現行
01416,軍人撫卹條例,現行
01417,兵役法,現行
01418,兵役法施行法,現行
01419,國家總動員法,廢止
01420,軍事徵用法,廢止
01421,戰時禁制品條例,現行
01422,陸軍服制條例,廢止
01423,海軍服制條例,廢止
01424,空軍服制條例,廢止
01425,陸海空軍軍旗條例,現行
01427,促進轉型正義條例,現行
01428,戒嚴法,現行
01429,要塞堡壘地帶法,現行
01430,防空法,廢止
01431,戡亂時期郵電抽查條例,廢止
01432,陸海空軍刑法,現行
01433,陸海空軍懲罰法,現行
01434,戰時軍律,廢止
01435,妨害軍機治罪條例,廢止
01436,海上捕獲條例,現行
01437,測量標設置保護條例,廢止
01438,軍事審判法,現行
01439,軍事審判法施行法,現行
01440,海上捕獲法庭審判條例,現行
01441,國家安全法,現行
01443,戰士授田憑據處理條例,現行
01446,陸海空軍服制條例,現行
01447,漢翔航空工業股份有限公司設置條例,現行
01448,陸海空軍軍官士官服役條例,現行
01449,國軍老舊眷村改建條例,現行
01450,國軍軍事勤務致人民傷亡損害補償條例,現行
01452,軍事教育條例,現行
01456,替代役實施條例,現行
01458,國防部主計局組織條例,廢止
01459,全民防衛動員準備法,現行
01460,國防部總政治作戰局組織條例,廢止
01461,國家情報工作法,現行
01464,國防部軍備局組織條例,廢止
01465,國防部軍醫局組織條例,廢止
01466,殺傷性地雷管制條例,現行
01468,全民國防教育法,現行
01472,軍人待遇條例,現行
01473,推動募兵制暫行條例,現行
01475,國家中山科學研究院設置條例,現行
01477,國防部政治作戰局組織法,現行
01478,國防部軍備局組織法,現行
01479,國防部軍醫局組織法,現行
01480,國防部主計局組織法,現行
01481,國防部參謀本部組織法,現行
01501,財政部國庫署組織條例,現行
01502,財政部賦稅署組織條例,現行
01503,財政部國有財產局組織條例,現行
01504,財政部各地區國稅局組織通則,現行
01505,財政部各地區支付處組織通則,現行
01506,財政部財稅人員訓練所組織條例,現行
01507,財政部證券暨期貨管理委員會組織條例,現行
01508,財政收支劃分法,現行
01509,財務罰鍰處理暫行條例,現行
01510,國庫法,現行
01511,公庫法,現行
01512,稅捐稽徵法,現行
01513,所得稅法,現行
01515,遺產及贈與稅法,現行
01516,印花稅法,現行
01517,貨物稅條例,現行
01518,證券交易稅條例,現行
01519,土地稅法,現行
01520,勘報災歉條例,廢止
01521,加值型及非加值型營業稅法,現行
01522,使用牌照稅法,現行
01523,國產菸酒類稅條例,廢止
01524,房屋稅條例,現行
01525,契稅條例,現行
01526,所得基本稅額條例,現行
01527,娛樂稅法,現行
01528,關稅法,現行
01530,海關緝私條例,現行
01531,銀行法,現行
01532,中央銀行法,現行
01533,交通銀行條例,廢止
01534,中國農民銀行條例,廢止
01535,中國國際商業銀行條例,廢止
01536,中國輸出入銀行條例,現行
01537,中央信託局條例,現行
01538,合作金庫條例,廢止
01539,省銀行條例,廢止
01540,縣銀行法,廢止
01541,國際金融業務條例,現行
01542,證券交易法,現行
01543,中央再保險公司條例,廢止
01544,存款保險條例,現行
01546,銀行業戰前存款放款清償條例,現行
01547,管理外匯條例,現行
01548,國庫券及短期借款條例,現行
01549,政府發展經濟社會向國外借款及保證條例,現行
01550,中央政府建設公債及借款條例,現行
01551,中國農民銀行土地債券法,現行
01552,民國二十三年第一期鐵路建設公債條例,現行
01553,第二期鐵路建設公債條例,現行
01554,第三期鐵路建設公債條例,現行
01555,民國二十三年六釐英金庚款公債條例,現行
01556,民國二十六年京贛鐵路建設公債條例,現行
01557,民國三十六年美金公債條例,現行
01559,民國三十八年整理美金公債條例,現行
01561,中華民國五十五年度公債發行條例,廢止
01562,中華民國五十六年度公債發行條例,廢止
01563,中華民國五十六年度愛國公債發行條例,現行
01564,中華民國五十七年度公債發行條例,廢止
01565,中華民國五十七年度愛國公債發行條例,現行
01566,中華民國五十八年度公債發行條例,廢止
01567,中華民國五十九年度公債發行條例,廢止
01568,中華民國六十年度公債發行條例,廢止
01569,中華民國六十一年度公債發行條例,現行
01570,中華民國六十二年度公債發行條例,現行
01571,中央政府興建臺灣區高速公路第一期工程建設公債發行條例,現行
01572,臺灣地區公共建設土地債券發行條例,廢止
01574,省市政府建設公債發行條例,廢止
01575,臺灣地區平均地權土地債券發行條例,廢止
01576,興建臺中港第一期工程建設公債發行條例,廢止
01577,興建臺中港第二期工程建設公債發行條例,廢止
01578,興建臺中港第三期工程建設公債發行條例,廢止
01579,臺灣鐵路電氣化工程建設公債發行條例,廢止
01580,臺北市自來水工程建設公債發行條例,廢止
01581,煤業安定基金條例,廢止
01582,臺灣省內菸酒專賣暫行條例,廢止
01583,國有財產法,現行
01584,會計師法,現行
01585,信託法,現行
01586,財政部關稅總局組織條例,現行
01587,記帳士法,現行
01588,信用合作社法,現行
01589,財政部財稅資料中心組織條例,現行
01591,強制汽車責任保險法,現行
01592,規費法,現行
01597,中央政府興建臺灣北部區域第二高速公路建設公債發行條例,現行
01599,關務人員人事條例,現行
01603,不動產估價師法,現行
01605,財政部關稅總局各地區關稅局組織通則,現行
01606,財政部金融局組織條例,現行
01607,現行法規所定貨幣單位折算新臺幣條例,現行
01608,公益彩券發行條例,現行
01609,儲蓄互助社法,現行
01611,財政部國有財產局各地區辦事處組織通則,現行
01613,地方稅法通則,現行
01614,信託業法,現行
01616,公共債務法,現行
01618,期貨交易法,現行
01622,菸酒稅法,現行
01623,菸酒管理法,現行
01624,臺灣菸酒股份有限公司條例,現行
01625,日據時代株式會社台灣銀行海外分支機構存款及匯款處理條例,現行
01626,期貨交易稅條例,現行
01629,證券投資人及期貨交易人保護法,現行
01631,票券金融管理法,現行
01633,國家金融安定基金設置及管理條例,現行
01634,金融機構合併法,現行
01637,行政院金融重建基金設置及管理條例,現行
01638,金融控股公司法,現行
01639,金融監督管理委員會組織法,現行
01642,金融資產證券化條例,現行
01643,不動產證券化條例,現行
01645,中華民國五十五年度愛國公債發行條例,現行
01646,農業金融法,現行
01648,擴大公共建設振興經濟暫行條例,廢止
01651,擴大公共建設投資特別條例,廢止
01652,證券投資信託及顧問法,現行
01655,納稅者權利保護法,現行
01656,金融監督管理委員會銀行局組織法,現行
01657,金融監督管理委員會證券期貨局組織法,現行
01658,金融監督管理委員會保險局組織法,現行
01659,金融監督管理委員會檢查局組織法,現行
01661,運動彩券發行條例,現行
01662,振興經濟擴大公共建設特別條例,廢止
01666,金融科技發展與創新實驗條例,現行
01668,臺灣金融控股股份有限公司條例,現行
01670,財政部關務署組織法,現行
01671,財政部國有財產署組織法,現行
01672,財政部財政資訊中心組織法,現行
01674,財政部國庫署組織法,現行
01675,財政部賦稅署組織法,現行
01700,教育部國民體育委員會組織條例,廢止
01701,教育部教育研究委員會組織條例,廢止
01702,教育部學術審議委員會組織條例,廢止
01703,教育部訓育委員會組織條例,廢止
01704,教育部國語推行委員會組織條例,廢止
01705,教育部醫學教育委員會組織條例,廢止
01706,國立編譯館組織條例,廢止
01707,國立教育資料館組織條例,廢止
01708,國家圖書館組織條例,廢止
01709,國立歷史博物館組織條例,廢止
01710,國立臺灣科學教育館組織條例,廢止
01711,大學法,現行
01712,空中大學設置條例,現行
01713,學位授予法,現行
01714,專科學校法,現行
01715,職業學校法,廢止
01716,高級中學法,廢止
01717,師資培育法,現行
01718,國民教育法,現行
01719,幼稚教育法,廢止
01720,強迫入學條例,現行
01721,私立學校法,現行
01722,社會教育法,廢止
01723,補習及進修教育法,現行
01724,特殊教育法,現行
01725,國民體育法,現行
01726,學校教職員退休條例,現行
01727,私立學校教職員保險條例,廢止
01728,捐資興學褒獎條例,廢止
01729,軍公教遺族就學費用優待條例,現行
01731,檔案法,現行
01732,國立中正紀念堂管理處組織條例,廢止
01733,國立國父紀念館組織條例,廢止
01734,教師法,現行
01736,國立中央圖書館臺灣分館組織條例,廢止
01737,國立臺灣藝術教育館組織條例,廢止
01738,國立自然科學博物館組織條例,廢止
01739,國立中正文化中心設置條例,廢止
01740,藝術教育法,現行
01741,教育基本法,現行
01744,國立大學校院校務基金設置條例,現行
01745,國立科學工藝博物館組織法,現行
01747,教師待遇條例,現行
01748,原住民族教育法,現行
01749,技術及職業教育法,現行
01750,圖書館法,現行
01751,家庭教育法,現行
01754,教育經費編列與管理法,現行
01756,國立海洋生物博物館組織法,現行
01764,國史館臺灣文獻館組織條例,現行
01765,終身學習法,現行
01766,學校衛生法,現行
01770,國家教育研究院組織法,現行
01771,國家運動訓練中心設置條例,現行
01773,性別平等教育法,現行
01774,高級中等以下教育階段非學校型態實驗教育實施條例,現行
01779,國立高級中等學校校務基金設置條例,現行
01780,學校法人及其所屬私立學校教職員退休撫卹離職資遣條例,現行
01781,運動產業發展條例,現行
01782,教育部體育署組織法,現行
01783,教育部國民及學前教育署組織法,現行
01784,國立公共資訊圖書館組織法,現行
01785,國立傳統藝術中心組織法,現行
01786,高級中等教育法,現行
01788,高級中等學校建教合作實施及建教生權益保障法,現行
01789,國家圖書館組織法,現行
01790,學校型態實驗教育實施條例,現行
01791,國立自然科學博物館組織法,現行
01792,學生輔導法,現行
01793,國立臺灣科學教育館組織法,現行
01794,國立臺灣圖書館組織法,現行
01795,教育部青年發展署組織法,現行
01796,公立高級中等以下學校委託私人辦理實驗教育條例,現行
01798,社區大學發展條例,現行
01799,各級學校扶助學生就學勸募條例,現行
01801,法務部調查局組織法,現行
01802,法務部調查局幹部訓練所組織條例,現行
01803,法務部司法官訓練所組織條例,廢止
01804,監獄組織通則,廢止
01805,看守所組織通則,廢止
01806,律師法,現行
01807,仲裁法,現行
01808,外國法院委託事件協助法,現行
01809,監獄行刑法,現行
01810,行刑累進處遇條例,現行
01811,國家賠償法,現行
01812,刑事補償法,現行
01813,罰金罰鍰提高標準條例,廢止
01814,羈押法,現行
01815,戡亂時期監所人犯處理條例,廢止
01816,外役監條例,現行
01817,保安處分執行法,現行
01818,更生保護法,現行
01819,少年觀護所設置及實施通則,現行
01820,少年輔育院條例,現行
01821,行政執行法,現行
01823,中華民國七十七年罪犯減刑條例,現行
01824,法務部技能訓練所組織條例,廢止
01825,臺灣地區與大陸地區人民關係條例,現行
01826,政風機構人員設置管理條例,現行
01827,通訊保障及監察法,現行
01829,個人資料保護法,現行
01830,行政程序法,現行
01831,法務部法醫研究所組織條例,廢止
01832,法務部矯正人員訓練所組織條例,廢止
01833,戒嚴時期人民受損權利回復條例,現行
01834,犯罪被害人保護法,現行
01835,洗錢防制法,現行
01836,國家機密保護法,現行
01839,香港澳門關係條例,現行
01840,少年矯正學校設置及教育實施通則,現行
01841,戒治處分執行條例,現行
01842,觀察勒戒處分執行條例,現行
01843,法務部戒治所組織通則,廢止
01848,法務部行政執行署組織條例,廢止
01849,行政執行處組織通則,廢止
01853,政黨及其附隨組織不當取得財產處理條例,現行
01854,行政罰法,現行
01858,財團法人法,現行
01864,公民與政治權利國際公約及經濟社會文化權利國際公約施行法,現行
01865,聯合國反貪腐公約施行法,現行
01871,法務部矯正署組織法,現行
01872,法務部司法官學院組織法,現行
01875,跨國移交受刑人法,現行
01876,法務部行政執行署組織法,現行
01877,法務部法醫研究所組織法,現行
01884,資恐防制法,現行
01901,經濟部中央地質調查所組織條例,現行
01903,經濟部工業局組織條例,現行
01904,經濟部中央標準局組織條例,廢止
01905,經濟部加工出口區管理處組織條例,現行
01906,經濟部加工出口區管理處所屬各分處組織通則,現行
01907,工業技術研究院設置條例,現行
01908,中華經濟研究院設置條例,現行
01909,經濟部國際貿易局組織條例,現行
01910,經濟部國際貿易局所屬各辦事處組織通則,現行
01911,經濟部商品檢驗局組織條例,廢止
01912,經濟部商品檢驗局所屬各分局組織通則,廢止
01913,經濟部水資源統一規劃委員會組織條例,廢止
01914,經濟部中小企業處組織條例,現行
01916,臺灣地區砂糖平準基金條例,現行
01917,非常時期農礦工商管理條例,廢止
01918,礦業法,現行
01919,海域石油礦探採條例,廢止
01921,礦場安全法,現行
01922,電業法,現行
01923,加工出口區設置管理條例,現行
01924,專利法,現行
01925,標準法,現行
01926,度量衡法,現行
01927,技術合作條例,廢止
01928,獎勵投資條例,廢止
01929,華僑回國投資條例,現行
01930,外國人投資條例,現行
01931,技師法,現行
01932,商業會計法,現行
01933,商業登記法,現行
01934,國營事業管理法,現行
01935,民營公用事業監督條例,現行
01936,商標法,現行
01937,商品檢驗法,現行
01938,商品標示法,現行
01939,公營事業移轉民營條例,現行
01940,在臺公司大陸地區股東股權行使條例,現行
01941,水利法,現行
01943,能源管理法,現行
01944,鹽政條例,廢止
01945,公平交易法,現行
01946,工廠管理輔導法,現行
01948,貿易法,現行
01949,中小企業發展條例,現行
01956,國外期貨交易法,廢止
01957,促進產業升級條例,廢止
01958,促進民間參與公共建設法,現行
01959,國際合作發展基金會設置條例,現行
01961,零售市場管理條例,現行
01962,專利師法,現行
01963,獎勵民間參與交通建設條例,現行
01965,土石採取法,現行
01966,積體電路電路布局保護法,現行
01967,營業秘密法,現行
01968,冷凍空調業管理條例,現行
01969,經濟部水資源局組織條例,廢止
01970,電子遊戲場業管理條例,現行
01977,經濟部智慧財產局組織條例,現行
01978,經濟部標準檢驗局組織條例,現行
01979,專利審查官資格條例,現行
01980,商標審查官資格條例,現行
01981,石油管理法,現行
01984,經濟部標準檢驗局所屬各分局組織通則,現行
01985,地質法,現行
01987,電子簽章法,現行
01988,電子支付機構管理條例,現行
01989,事業用爆炸物管理條例,現行
01991,基隆河流域整治特別條例,廢止
01992,經濟部水利署臺北水源特定區管理局組織條例,現行
01993,經濟部水利署各區水資源局組織通則,現行
01994,經濟部水利署各河川局組織通則,現行
01995,經濟部水利署水利規劃試驗所組織條例,現行
01996,經濟部水利署組織條例,現行
02001,交通部公路總局組織法,廢止
02002,交通部臺灣區國道高速公路局組織條例,現行
02003,交通部觀光局組織條例,現行
02004,交通部郵政總局組織法,廢止
02005,交通部郵政總局郵區管理局組織通則,廢止
02006,郵政儲金匯業局組織法,廢止
02007,交通部電信總局組織條例,廢止
02008,交通部電信總局所屬各區電信管理局組織通則,廢止
02009,交通部航政局組織法,現行
02010,交通部民用航空局組織條例,現行
02011,交通部中央氣象局組織條例,現行
02012,交通部中央氣象局附屬氣象測報機構組織通則,現行
02013,交通部運輸研究所組織條例,現行
02014,鐵路法,現行
02015,鐵路軍事運輸條例,現行
02016,公路法,現行
02017,道路交通管理處罰條例,現行
02018,發展觀光條例,現行
02019,郵政法,現行
02020,郵政國內匯兌法,廢止
02021,郵政儲金法,廢止
02022,簡易人壽保險法,現行
02023,電信法,現行
02024,戰時交通電業設備及器材防護條例,廢止
02025,航業法,現行
02026,船舶法,現行
02027,船舶登記法,現行
02028,商港法,現行
02029,航路標識條例,現行
02030,引水法,現行
02031,民用航空法,現行
02032,氣象法,現行
02033,大眾捷運法,現行
02034,停車場法,現行
02036,船員法,現行
02037,公營大眾捷運股份有限公司設置管理條例,現行
02039,交通部民用航空局飛航服務總臺組織條例,現行
02041,中華電信股份有限公司條例,廢止
02043,大眾運輸工具播音語言平等保障法,現行
02044,交通部民用航空局民航人員訓練所組織條例,現行
02049,交通部郵電事業人員退休撫卹條例,現行
02050,交通部公路總局組織法,現行
02051,交通部公路總局各區養護工程處組織通則,現行
02052,交通部公路總局各區監理所組織通則,現行
02053,交通部公路總局材料試驗所組織條例,現行
02054,交通部基隆港務局組織條例,廢止
02055,交通部基隆港務局棧埠管理處組織條例,現行
02056,交通部基隆港務局港埠工程處組織條例,現行
02057,交通部基隆港務局船舶機械修造工廠組織條例,現行
02058,交通部基隆港務局蘇澳港分局組織條例,現行
02059,交通部基隆港務局船舶管理所組織條例,現行
02060,交通部基隆港務局臺北港分局組織條例,現行
02061,交通部臺中港務局組織條例,廢止
02062,交通部臺中港務局棧埠管理處組織條例,現行
02063,交通部臺中港務局港埠工程處組織條例,現行
02064,交通部臺中港務局船舶機械修造工廠組織條例,現行
02065,交通部高雄港務局組織條例,廢止
02066,交通部高雄港務局棧埠管理處組織條例,現行
02067,交通部高雄港務局港埠工程處組織條例,現行
02068,交通部高雄港務局船舶機械修造工廠組織條例,現行
02069,交通部高雄港務局安平港分局組織條例,現行
02070,交通部高雄港務局各地辦事處組織通則,現行
02071,交通部花蓮港務局組織條例,廢止
02072,交通部花蓮港務局港埠工程處組織條例,現行
02073,交通部花蓮港務局棧埠管理處組織條例,現行
02074,發展大眾運輸條例,現行
02075,交通部民用航空局所屬航空站組織通則,現行
02076,溫泉法,現行
02077,郵政儲金匯兌法,現行
02078,中華郵政股份有限公司設置條例,現行
02080,交通部臺灣鐵路管理局組織條例,現行
02081,交通部臺灣鐵路管理局所屬分支機構組織通則,現行
02083,交通部臺灣鐵路管理局各機廠組織通則,現行
02084,飛航事故調查法,現行
02085,交通部臺灣鐵路管理局餐旅服務總所組織條例,現行
02086,交通部臺灣鐵路管理局貨運服務總所組織條例,現行
02090,電子票證發行管理條例,現行
02092,國營國際機場園區股份有限公司設置條例,現行
02101,蒙古盟部旗組織法,廢止
02102,管理喇嘛寺廟條例,廢止
02103,蒙藏委員會流亡蒙胞就業就學輔導委員會組織條例,廢止
02104,蒙藏族身分證明條例,現行
02203,國營港務股份有限公司設置條例,現行
02301,預算法,現行
02302,決算法,現行
02303,會計法,現行
02304,統計法,現行
02305,主計機構人員設置管理條例,現行
02306,行政院主計處電子處理資料中心組織條例,現行
02308,政府採購法,現行
02309,中央政府預算執行暫行條例,廢止
02401,行政院新聞局駐外新聞機構組織通則,現行
02402,出版法,廢止
02403,出版獎助條例,廢止
02404,新聞記者法,廢止
02405,電影法,現行
02406,廣播電視法,現行
02407,廣播電視事業發展基金條例,廢止
02409,有線廣播電視法,現行
02410,中央通訊社設置條例,現行
02411,公共電視法,現行
02412,中央廣播電臺設置條例,現行
02413,國立教育廣播電臺組織條例,廢止
02414,國立教育廣播電臺分臺組織通則,廢止
02415,衛星廣播電視法,現行
02417,通訊傳播基本法,現行
02418,無線電視事業公股處理條例,現行
02421,國立教育廣播電臺組織法,現行
02501,行政院衛生署環境保護局組織條例,廢止
02502,中央衛生實驗院組織條例,廢止
02503,行政院衛生署預防醫學研究所組織條例,廢止
02504,行政院衛生署藥物食品檢驗局組織條例,廢止
02505,行政院衛生署管制藥品管理局組織條例,廢止
02506,行政院衛生署檢疫總所組織條例,廢止
02507,飲用水管理條例,現行
02508,醫師法,現行
02509,藥師法,現行
02510,藥事法,現行
02511,助產人員法,現行
02512,管制藥品管理條例,現行
02513,食品安全衛生管理法,現行
02514,營養師法,現行
02515,化粧品衛生安全管理法,現行
02516,傳染病防治法,現行
02517,優生保健法,現行
02518,廢棄物清理法,現行
02519,空氣污染防制法,現行
02520,水污染防治法,現行
02521,噪音管制法,現行
02522,捐資興辦衛生事業褒獎條例,廢止
02523,獎勵醫藥技術條例,廢止
02524,解剖屍體條例,現行
02525,眼角膜移植條例,廢止
02526,精神衛生法,現行
02528,人工生殖法,現行
02529,室內空氣品質管理法,現行
02531,衛生福利部食品藥物管理署組織法,現行
02533,醫療法,現行
02535,人體器官移植條例,現行
02536,病人自主權利法,現行
02538,人體生物資料庫管理條例,現行
02540,醫事檢驗師法,現行
02541,人體研究法,現行
02542,護理人員法,現行
02544,血液製劑條例,現行
02545,人類免疫缺乏病毒傳染防治及感染者權益保障條例,現行
02546,行政院衛生署中醫藥委員會組織條例,廢止
