代碼,法條名稱,狀態
01010,行政院組織法,現行
01011,內政部組織法,現行
01013,外交部組織法,現行
01014,國防部組織法,現行
01015,財政部組織法,現行
01017,教育部組織法,現行
01018,法務部組織法,現行
01019,經濟部組織法,現行
01020,交通部組織法,現行
01021,蒙藏委員會組織法,廢止
01022,僑務委員會組織法,現行
01023,行政院主計處組織法,現行
01024,行政院新聞局組織條例,現行
01025,行政院衛生署組織法,廢止
01026,行政院國軍退除役官兵輔導委員會組織條例,廢止
01027,行政院原子能委員會組織條例,現行
01028,行政院國家科學委員會組織條例,廢止
01029,行政院文化建設委員會組織條例,廢止
01030,行政院青年輔導委員會組織條例,廢止
01031,行政院農業委員會組織條例,現行
01032,行政院經濟建設委員會組織條例,廢止
01033,行政院人事行政局組織條例,廢止
01034,行政院研究發展考核委員會組織條例,廢止
01035,國立故宮博物院組織法,現行
01036,行政院勞工委員會組織條例,廢止
01037,行政院環境保護署組織條例,現行
01038,國防工業發展基金設置條例,現行
01039,行政院大陸委員會組織條例,現行
01040,行政院公共工程委員會組織條例,現行
01041,行政院公平交易委員會組織條例,廢止
01042,國防法,現行
01046,行政院原住民族委員會組織條例,廢止
01047,法務部廉政署組織法,現行
01049,行政院體育委員會組織條例,廢止
01050,中央行政機關組織基準法,現行
01051,中央政府機關總員額法,現行
01054,行政院客家委員會組織條例,廢止
01056,行政院原住民族委員會文化園區管理局組織條例,現行
01057,行政院人事行政局地方行政研習中心組織條例,廢止
01059,檔案管理局組織條例,廢止
01060,中央選舉委員會組織法,現行
01061,行政院功能業務與組織調整暫行條例,現行
01062,行政院農業委員會農業金融局組織條例,現行
01063,國家通訊傳播委員會組織法,現行
01065,飛航安全調查委員會組織法,現行
01070,國際機場園區發展條例,現行
01071,客家委員會組織法,現行
01073,大陸委員會組織法,現行
01074,國軍退除役官兵輔導委員會組織法,現行
01076,原住民族委員會組織法,現行
01077,原住民族委員會原住民族文化發展中心組織法,現行
01078,行政院人事行政總處組織法,現行
01079,行政院人事行政總處公務人力發展中心組織法,廢止
01080,行政院人事行政總處地方行政研習中心組織法,廢止
01081,榮民總醫院組織通則,現行
01082,行政院主計總處組織法,現行
01083,國家發展委員會組織法,現行
01084,國家發展委員會檔案管理局組織法,現行
01085,國家災害防救科技中心設置條例,現行
01086,國家表演藝術中心設置條例,現行
01087,駐外機構組織通則,現行
01088,海洋委員會組織法,現行
01089,海洋委員會海巡署組織法,現行
01090,文化部組織法,現行
01091,文化部影視及流行音樂產業局組織法,現行
01092,國立國父紀念館組織法,現行
01093,國立中正紀念堂管理處組織法,現行
01094,國立歷史博物館組織法,現行
01095,國立臺灣美術館組織法,現行
01096,國立臺灣工藝研究發展中心組織法,現行
01097,國立臺灣博物館組織法,現行
01098,公平交易委員會組織法,現行
01101,內政部警政署組織條例,廢止
01102,內政部營建署組織條例,現行
01103,國家公園管理處組織通則,廢止
01104,行政院勞工委員會職業訓練局組織條例,廢止
01105,行政院勞工委員會職業訓練局職業訓練中心組織通則,廢止
01106,省警務處組織法,廢止
01107,省保安警察隊組織條例,廢止
01108,中央警察大學組織條例,現行
01109,各省市警察學校組織通則,廢止
01110,中華民國國徽國旗法,現行
01111,褒揚條例,現行
01112,褒揚抗戰忠烈條例,廢止
01113,國葬法,現行
01114,公葬條例,廢止
01115,墳墓設置管理條例,廢止
01116,監督寺廟條例,現行
01117,國家公園法,現行
01118,請願法,現行
01119,戶籍法,現行
01120,戶口普查法,廢止
01121,國籍法,現行
01122,國籍法施行條例,廢止
01123,姓名條例,現行
01124,人民團體法,現行
01125,兒童福利法,廢止
01126,老人福利法,現行
01127,身心障礙者權益保障法,現行
01128,社會救助法,現行
