代碼,法條名稱,發布時間,包含資訊
01010,行政院組織法,中華民國36年3月27日制定;中華民國36年3月31日公布,異動條文
01010,行政院組織法,中華民國36年4月19日全文修正;中華民國36年4月22日公布,異動條文
01010,行政院組織法,中華民國36年12月23日全文修正;中華民國36年12月25日公布,異動條文
01010,行政院組織法,中華民國37年5月1日修正;中華民國37年5月13日公布,異動條文
01010,行政院組織法,中華民國38年3月15日修正;中華民國38年3月21日公布,異動條文
01010,行政院組織法,中華民國41年11月11日修正;中華民國41年11月20日公布,異動條文
01010,行政院組織法,中華民國69年5月27日修正;中華民國69年6月29日公布,異動條文及理由;立法歷程
01010,行政院組織法,中華民國99年1月12日全文修正;中華民國99年2月3日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國17年12月8日制定;中華民國17年12月8日公布,異動條文
01011,內政部組織法,中華民國20年3月7日全文修正;中華民國20年4月4日公布,異動條文
01011,內政部組織法,中華民國21年10月1日修正;中華民國21年10月13日公布,異動條文
01011,內政部組織法,中華民國25年7月3日全文修正;中華民國25年7月14日公布,異動條文
01011,內政部組織法,中華民國27年2月11日全文修正;中華民國27年2月11日公布,異動條文
01011,內政部組織法,中華民國27年4月25日修正;中華民國27年4月30日公布,異動條文
01011,內政部組織法,中華民國27年12月2日修正;中華民國27年12月8日公布,異動條文
01011,內政部組織法,中華民國28年2月3日修正;中華民國28年2月9日公布,異動條文
01011,內政部組織法,中華民國29年4月6日修正;中華民國29年4月17日公布,異動條文
01011,內政部組織法,中華民國30年8月9日修正;中華民國30年9月5日公布,異動條文
01011,內政部組織法,中華民國31年5月30日全文修正;中華民國31年6月8日公布,異動條文
01011,內政部組織法,中華民國35年6月25日全文修正;中華民國35年7月18日公布,異動條文
01011,內政部組織法,中華民國36年6月11日修正;中華民國36年6月11日公布,異動條文
01011,內政部組織法,中華民國36年9月25日修正;中華民國36年9月25日公布,異動條文
01011,內政部組織法,中華民國36年11月8日全文修正;中華民國36年11月8日公布,異動條文
01011,內政部組織法,中華民國38年5月6日全文修正;中華民國38年5月24日公布,異動條文
01011,內政部組織法,中華民國45年4月6日修正;中華民國45年4月19日公布,異動條文
01011,內政部組織法,中華民國45年11月27日修正;中華民國45年12月10日公布,立法歷程;異動條文
01011,內政部組織法,中華民國52年5月10日修正;中華民國52年5月22日公布,立法歷程;異動條文
01011,內政部組織法,中華民國62年7月3日全文修正;中華民國62年7月13日公布,立法歷程;異動條文
01011,內政部組織法,中華民國70年1月6日全文修正;中華民國70年1月21日公布,立法歷程;異動條文
01011,內政部組織法,中華民國76年6月30日修正;中華民國76年7月13日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國84年1月17日修正;中華民國84年1月28日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國88年6月22日修正;中華民國88年7月14日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國90年10月11日修正;中華民國91年1月16日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國94年5月27日修正;中華民國94年6月22日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國94年11月8日修正;中華民國94年11月30日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國96年12月14日修正;中華民國97年1月2日公布,異動條文及理由;立法歷程
01011,內政部組織法,中華民國106年5月26日修正;中華民國106年6月14日公布,異動條文及理由;立法歷程
01013,外交部組織法,中華民國17年12月8日制定;中華民國17年12月8日公布,異動條文
01013,外交部組織法,中華民國20年2月14日修正;中華民國20年2月21日公布,異動條文
01013,外交部組織法,中華民國25年10月2日修正;中華民國25年10月31日公布,異動條文
01013,外交部組織法,中華民國28年8月19日全文修正;中華民國28年9月7日公布,異動條文
01013,外交部組織法,中華民國32年6月26日全文修正;中華民國32年7月10日公布,異動條文
01013,外交部組織法,中華民國32年11月16日全文修正;中華民國32年12月8日公布,異動條文
01013,外交部組織法,中華民國33年6月28日修正;中華民國33年7月14日公布,異動條文
01013,外交部組織法,中華民國52年4月12日全文修正;中華民國52年4月24日公布,立法歷程;異動條文
01013,外交部組織法,中華民國57年1月26日全文修正;中華民國57年2月12日公布,立法歷程;異動條文
01013,外交部組織法,中華民國73年12月21日全文修正;中華民國73年12月31日公布,立法歷程;異動條文
01013,外交部組織法,中華民國81年1月7日修正;中華民國81年1月22日公布,異動條文及理由;立法歷程
01013,外交部組織法,中華民國100年10月28日全文修正;中華民國100年11月14日公布,異動條文及理由;立法歷程
01014,國防部組織法,中華民國59年10月30日制定;中華民國59年11月13日公布,異動條文及理由;立法歷程
01014,國防部組織法,中華民國67年7月7日修正;中華民國67年7月17日公布,異動條文及理由;立法歷程
01014,國防部組織法,中華民國89年1月15日全文修正;中華民國89年1月29日公布,異動條文及理由;立法歷程
01014,國防部組織法,中華民國91年1月15日修正;中華民國91年2月6日公布,異動條文及理由;立法歷程
01014,國防部組織法,中華民國101年11月23日全文修正;中華民國101年12月12日公布,異動條文及理由;立法歷程
01015,財政部組織法,中華民國17年12月8日制定;中華民國17年12月8日公布,異動條文
01015,財政部組織法,中華民國18年4月27日修正;中華民國18年5月9日公布,異動條文
01015,財政部組織法,中華民國20年2月14日修正;中華民國20年2月21日公布,異動條文
01015,財政部組織法,中華民國25年3月20日全文修正;中華民國25年7月14日公布,異動條文
01015,財政部組織法,中華民國29年1月27日全文修正;中華民國29年3月26日公布,異動條文
01015,財政部組織法,中華民國30年11月1日全文修正;中華民國30年11月24日公布,異動條文
01015,財政部組織法,中華民國32年3月13日全文修正;中華民國32年3月31日公布,異動條文
01015,財政部組織法,中華民國70年1月23日全文修正;中華民國70年2月2日公布,立法歷程;異動條文
01015,財政部組織法,中華民國80年5月17日修正;中華民國80年5月31日公布,異動條文及理由;立法歷程
01015,財政部組織法,中華民國101年1月20日全文修正;中華民國101年2月3日公布,異動條文及理由;立法歷程
01017,教育部組織法,中華民國17年12月8日制定;中華民國17年12月8日公布,異動條文
01017,教育部組織法,中華民國18年9月14日全文修正;中華民國18年10月1日公布,異動條文
01017,教育部組織法,中華民國20年6月27日修正;中華民國20年7月6日公布,異動條文
01017,教育部組織法,中華民國22年4月14日修正;中華民國22年4月22日公布,異動條文
01017,教育部組織法,中華民國24年5月9日修正;中華民國24年5月18日公布,異動條文
01017,教育部組織法,中華民國25年10月2日修正;中華民國25年10月31日公布,異動條文
01017,教育部組織法,中華民國29年10月31日全文修正;中華民國29年11月16日公布,異動條文
01017,教育部組織法,中華民國31年12月19日修正;中華民國32年1月7日公布,異動條文
01017,教育部組織法,中華民國32年11月16日全文修正;中華民國32年12月3日公布,異動條文
01017,教育部組織法,中華民國33年6月28日修正;中華民國33年7月15日公布,異動條文
01017,教育部組織法,中華民國36年1月30日全文修正;中華民國36年2月12日公布,異動條文
01017,教育部組織法,中華民國57年1月27日全文修正;中華民國57年2月12日公布,立法歷程;異動條文
01017,教育部組織法,中華民國62年7月13日全文修正;中華民國62年7月25日公布,立法歷程;異動條文
01017,教育部組織法,中華民國101年1月20日全文修正;中華民國101年2月3日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國17年11月19日制定;中華民國17年11月19日公布,異動條文
01018,法務部組織法,中華民國18年4月6日全文修正;中華民國18年4月17日公布,異動條文
01018,法務部組織法,中華民國25年10月2日修正;中華民國25年11月3日公布,異動條文
01018,法務部組織法,中華民國31年7月10日全文修正;中華民國31年7月28日公布,異動條文
01018,法務部組織法,中華民國32年1月30日全文修正;中華民國32年2月13日公布,異動條文
01018,法務部組織法,中華民國45年4月6日修正;中華民國45年4月19日公布,異動條文
01018,法務部組織法,中華民國69年6月10日全文修正;中華民國69年6月29日公布,立法歷程;異動條文
01018,法務部組織法,中華民國86年4月8日全文修正;中華民國86年4月23日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國86年5月6日修正;中華民國86年5月28日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國99年8月19日修正;中華民國99年9月1日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國100年4月1日修正;中華民國100年4月20日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國100年6月14日全文修正;中華民國100年6月29日公布,異動條文及理由;立法歷程
01018,法務部組織法,中華民國107年5月8日修正;中華民國107年5月23日公布,異動條文及理由;立法歷程
01019,經濟部組織法,中華民國38年4月19日制定;中華民國38年5月10日公布,異動條文
01019,經濟部組織法,中華民國53年5月26日修正;中華民國53年6月9日公布,立法歷程;異動條文
01019,經濟部組織法,中華民國57年1月27日全文修正;中華民國57年2月12日公布,立法歷程;異動條文
01019,經濟部組織法,中華民國70年1月6日全文修正;中華民國70年1月21日公布,立法歷程;異動條文
01019,經濟部組織法,中華民國73年7月13日修正;中華民國73年7月20日公布,異動條文及理由;立法歷程
01019,經濟部組織法,中華民國85年9月19日修正;中華民國85年10月16日公布,異動條文及理由;立法歷程
01019,經濟部組織法,中華民國91年1月4日修正;中華民國91年1月25日公布,異動條文及理由;立法歷程
01019,經濟部組織法,中華民國93年1月9日修正;中華民國93年1月20日公布,異動條文及理由;立法歷程
01019,經濟部組織法,中華民國106年5月26日修正;中華民國106年6月14日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國17年12月8日制定;中華民國17年12月8日公布,異動條文
01020,交通部組織法,中華民國19年1月25日全文修正;中華民國19年2月3日公布,異動條文
01020,交通部組織法,中華民國20年2月21日修正;中華民國20年2月21日公布,異動條文
01020,交通部組織法,中華民國25年10月2日修正;中華民國25年11月3日公布,異動條文
01020,交通部組織法,中華民國27年1月14日全文修正;中華民國27年1月14日公布,異動條文
01020,交通部組織法,中華民國27年3月8日修正;中華民國27年3月8日公布,異動條文
01020,交通部組織法,中華民國27年7月19日全文修正;中華民國27年7月30日公布,異動條文
01020,交通部組織法,中華民國32年6月26日全文修正;中華民國32年7月14日公布,異動條文
01020,交通部組織法,中華民國33年1月29日修正;中華民國33年2月11日公布,異動條文
01020,交通部組織法,中華民國35年5月25日全文修正;中華民國35年6月7日公布,異動條文
01020,交通部組織法,中華民國71年11月23日全文修正;中華民國71年12月1日公布,立法歷程;異動條文
01020,交通部組織法,中華民國84年1月10日修正;中華民國84年1月13日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國87年5月28日修正;中華民國87年6月17日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國90年12月25日修正;中華民國91年1月30日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國91年6月11日修正;中華民國91年7月10日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國96年6月14日修正;中華民國96年7月11日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國106年5月26日修正;中華民國106年6月14日公布,異動條文及理由;立法歷程
01020,交通部組織法,中華民國106年11月7日修正;中華民國106年11月22日公布,異動條文及理由;立法歷程
01021,蒙藏委員會組織法,中華民國18年1月26日制定;中華民國18年2月7日公布,異動條文
01021,蒙藏委員會組織法,中華民國21年7月8日全文修正;中華民國21年7月25日公布,異動條文
01021,蒙藏委員會組織法,中華民國25年10月2日修正;中華民國25年11月5日公布,異動條文
