代碼,法條名稱,發布時間,包含資訊
01021,蒙藏委員會組織法,中華民國29年11月30日全文修正;中華民國29年12月16日公布,異動條文
01021,蒙藏委員會組織法,中華民國31年4月15日修正;中華民國31年4月27日公布,異動條文
01021,蒙藏委員會組織法,中華民國33年11月18日全文修正;中華民國33年12月2日公布,異動條文
01021,蒙藏委員會組織法,中華民國36年6月27日修正;中華民國36年7月16日公布,異動條文
01021,蒙藏委員會組織法,中華民國36年9月25日修正;中華民國36年10月4日公布,異動條文
01021,蒙藏委員會組織法,中華民國69年12月26日修正;中華民國70年1月12日公布,異動條文及理由;立法歷程
01021,蒙藏委員會組織法,中華民國106年11月28日廢止;中華民國106年12月13日公布,廢止理由;立法歷程
01022,僑務委員會組織法,中華民國20年11月7日制定;中華民國20年12月7日公布,異動條文
01022,僑務委員會組織法,中華民國21年7月30日修正;中華民國21年8月13日公布,異動條文
01022,僑務委員會組織法,中華民國25年10月2日修正;中華民國25年11月5日公布,異動條文
01022,僑務委員會組織法,中華民國36年7月16日修正;中華民國36年7月16日公布,異動條文
01022,僑務委員會組織法,中華民國36年9月15日全文修正;中華民國36年9月27日公布,異動條文
01022,僑務委員會組織法,中華民國61年8月4日全文修正;中華民國61年8月15日公布,立法歷程;異動條文
01022,僑務委員會組織法,中華民國70年12月11日全文修正;中華民國70年12月21日公布,立法歷程;異動條文
01022,僑務委員會組織法,中華民國87年1月7日修正;中華民國87年1月21日公布,異動條文及理由;立法歷程
01022,僑務委員會組織法,中華民國94年11月8日修正;中華民國94年11月30日公布,異動條文及理由;立法歷程
01022,僑務委員會組織法,中華民國100年10月28日全文修正;中華民國100年11月14日公布,異動條文及理由;立法歷程
01023,行政院主計處組織法,中華民國48年3月17日制定;中華民國48年3月28日公布,立法歷程;異動條文
01023,行政院主計處組織法,中華民國62年11月2日全文修正;中華民國62年11月14日公布,立法歷程;異動條文
01023,行政院主計處組織法,中華民國72年5月3日全文修正;中華民國72年5月13日公布,立法歷程;異動條文
01024,行政院新聞局組織條例,中華民國41年11月11日制定;中華民國41年11月27日公布,異動條文
01024,行政院新聞局組織條例,中華民國44年12月20日全文修正;中華民國44年12月30日公布,立法歷程;異動條文
01024,行政院新聞局組織條例,中華民國47年7月1日修正;中華民國47年7月9日公布,立法歷程;異動條文
01024,行政院新聞局組織條例,中華民國57年11月26日全文修正;中華民國57年12月5日公布,立法歷程;異動條文
01024,行政院新聞局組織條例,中華民國62年6月22日全文修正;中華民國62年6月29日公布,立法歷程;異動條文
01024,行政院新聞局組織條例,中華民國70年1月23日全文修正;中華民國70年1月30日公布,立法歷程;異動條文
01025,行政院衛生署組織法,中華民國59年7月10日制定;中華民國59年7月23日公布,立法歷程;異動條文
01025,行政院衛生署組織法,中華民國63年12月10日修正;中華民國63年12月21日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國70年1月23日全文修正;中華民國70年1月30日公布,立法歷程;異動條文
01025,行政院衛生署組織法,中華民國76年7月16日修正;中華民國76年7月29日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國86年3月21日修正;中華民國86年4月11日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國88年1月14日修正;中華民國88年2月3日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國88年6月22日修正;中華民國88年7月15日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國90年6月1日修正;中華民國90年6月20日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國93年6月8日修正;中華民國93年6月23日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國98年5月12日修正;中華民國98年6月3日公布,異動條文及理由;立法歷程
01025,行政院衛生署組織法,中華民國104年6月9日廢止;中華民國104年6月24日公布,廢止理由;立法歷程
01026,行政院國軍退除役官兵輔導委員會組織條例,中華民國44年12月16日制定;中華民國44年12月27日公布,立法歷程;異動條文
01026,行政院國軍退除役官兵輔導委員會組織條例,中華民國46年7月2日全文修正;中華民國46年7月13日公布,立法歷程;異動條文
01026,行政院國軍退除役官兵輔導委員會組織條例,中華民國55年8月26日全文修正;中華民國55年9月8日公布,立法歷程;異動條文
01026,行政院國軍退除役官兵輔導委員會組織條例,中華民國70年1月16日全文修正;中華民國70年1月26日公布,立法歷程;異動條文
01026,行政院國軍退除役官兵輔導委員會組織條例,中華民國103年1月10日廢止;中華民國103年1月29日公布,廢止理由;立法歷程
01027,行政院原子能委員會組織條例,中華民國59年11月20日制定;中華民國59年12月3日公布,異動條文及理由;立法歷程
01027,行政院原子能委員會組織條例,中華民國68年7月17日全文修正;中華民國68年7月27日公布,立法歷程;異動條文
01027,行政院原子能委員會組織條例,中華民國81年10月30日全文修正;中華民國81年11月23日公布,異動條文及理由;立法歷程
01028,行政院國家科學委員會組織條例,中華民國61年1月11日制定;中華民國61年1月18日公布,異動條文及理由;立法歷程
01028,行政院國家科學委員會組織條例,中華民國71年4月20日全文修正;中華民國71年4月30日公布,立法歷程;異動條文
01028,行政院國家科學委員會組織條例,中華民國96年12月14日修正;中華民國97年1月2日公布,異動條文及理由;立法歷程
01028,行政院國家科學委員會組織條例,中華民國104年5月26日廢止;中華民國104年6月10日公布,廢止理由;立法歷程
01029,行政院文化建設委員會組織條例,中華民國70年7月18日制定;中華民國70年7月31日公布,異動條文及理由;立法歷程
01029,行政院文化建設委員會組織條例,中華民國83年1月18日修正;中華民國83年2月7日公布,異動條文及理由;立法歷程
01029,行政院文化建設委員會組織條例,中華民國104年5月26日廢止;中華民國104年6月10日公布,廢止理由;立法歷程
01030,行政院青年輔導委員會組織條例,中華民國71年4月27日制定;中華民國71年5月7日公布,異動條文及理由;立法歷程
01030,行政院青年輔導委員會組織條例,中華民國102年12月31日廢止;中華民國103年1月15日公布,廢止理由;立法歷程
01031,行政院農業委員會組織條例,中華民國73年7月10日制定;中華民國73年7月20日公布,異動條文及理由;立法歷程
01031,行政院農業委員會組織條例,中華民國83年12月29日修正;中華民國84年1月18日公布,異動條文及理由;立法歷程
01031,行政院農業委員會組織條例,中華民國87年5月29日全文修正;中華民國87年6月24日公布,異動條文及理由;立法歷程
01031,行政院農業委員會組織條例,中華民國92年12月30日修正;中華民國93年1月14日公布,異動條文及理由;立法歷程
01032,行政院經濟建設委員會組織條例,中華民國73年12月24日制定;中華民國74年1月7日公布,異動條文及理由;立法歷程
01032,行政院經濟建設委員會組織條例,中華民國104年5月5日廢止;中華民國104年5月20日公布,廢止理由;立法歷程
01033,行政院人事行政局組織條例,中華民國82年12月30日制定;中華民國82年12月30日公布,異動條文及理由;立法歷程
01033,行政院人事行政局組織條例,中華民國91年6月4日修正;中華民國91年6月26日公布,異動條文及理由;立法歷程
01033,行政院人事行政局組織條例,中華民國103年5月30日廢止;中華民國103年6月18日公布,廢止理由;立法歷程
01034,行政院研究發展考核委員會組織條例,中華民國75年12月30日制定;中華民國76年1月14日公布,異動條文及理由;立法歷程
01034,行政院研究發展考核委員會組織條例,中華民國86年3月21日全文修正;中華民國86年4月16日公布,異動條文及理由;立法歷程
01034,行政院研究發展考核委員會組織條例,中華民國90年10月4日修正;中華民國90年10月17日公布,異動條文及理由;立法歷程
01034,行政院研究發展考核委員會組織條例,中華民國104年5月5日廢止;中華民國104年5月20日公布,廢止理由;立法歷程
01035,國立故宮博物院組織法,中華民國75年12月19日制定;中華民國75年12月31日公布,異動條文及理由;立法歷程
01035,國立故宮博物院組織法,中華民國96年12月21日全文修正;中華民國97年1月16日公布,異動條文及理由;立法歷程
01036,行政院勞工委員會組織條例,中華民國76年6月30日制定;中華民國76年7月13日公布,異動條文及理由;立法歷程
01036,行政院勞工委員會組織條例,中華民國104年6月9日廢止;中華民國104年6月24日公布,廢止理由;立法歷程
01037,行政院環境保護署組織條例,中華民國76年7月16日制定;中華民國76年7月29日公布,異動條文及理由;立法歷程
01037,行政院環境保護署組織條例,中華民國86年3月21日修正;中華民國86年4月11日公布,異動條文及理由;立法歷程
01037,行政院環境保護署組織條例,中華民國89年4月18日修正;中華民國89年5月3日公布,異動條文及理由;立法歷程
01037,行政院環境保護署組織條例,中華民國90年12月28日修正;中華民國91年1月30日公布,異動條文及理由;立法歷程
01038,國防工業發展基金設置條例,中華民國68年1月19日制定;中華民國68年1月26日公布,異動條文及理由;立法歷程
01038,國防工業發展基金設置條例,中華民國95年12月12日修正;中華民國95年12月27日公布,異動條文及理由;立法歷程
01039,行政院大陸委員會組織條例,中華民國80年1月18日制定;中華民國80年1月28日公布,異動條文及理由;立法歷程
01039,行政院大陸委員會組織條例,中華民國85年12月31日修正;中華民國86年1月22日公布,異動條文及理由;立法歷程
01040,行政院公共工程委員會組織條例,中華民國84年6月27日制定;中華民國84年7月10日公布,異動條文及理由;立法歷程
01041,行政院公平交易委員會組織條例,中華民國80年12月31日制定;中華民國81年1月13日公布,異動條文及理由;立法歷程
01041,行政院公平交易委員會組織條例,中華民國88年12月28日修正;中華民國89年1月12日公布,異動條文及理由;立法歷程
01041,行政院公平交易委員會組織條例,中華民國91年5月21日修正;中華民國91年6月12日公布,異動條文及理由;立法歷程
01041,行政院公平交易委員會組織條例,中華民國104年5月5日廢止;中華民國104年5月20日公布,廢止理由;立法歷程
01042,國防法,中華民國89年1月15日制定;中華民國89年1月29日公布,異動條文及理由;立法歷程
01042,國防法,中華民國91年12月13日修正;中華民國92年1月8日公布,異動條文及理由;立法歷程
01042,國防法,中華民國97年7月17日修正;中華民國97年8月6日公布,異動條文及理由;立法歷程
01042,國防法,中華民國99年11月5日修正;中華民國99年11月24日公布,異動條文及理由;立法歷程
01042,國防法,中華民國101年5月22日修正;中華民國101年6月6日公布,異動條文及理由;立法歷程
01046,行政院原住民族委員會組織條例,中華民國85年11月1日制定;中華民國85年11月13日公布,異動條文及理由;立法歷程
01046,行政院原住民族委員會組織條例,中華民國91年1月4日修正;中華民國91年1月30日公布,異動條文及理由;立法歷程
01046,行政院原住民族委員會組織條例,中華民國95年1月13日修正;中華民國95年2月3日公布,異動條文及理由;立法歷程
01046,行政院原住民族委員會組織條例,中華民國104年12月1日廢止;中華民國104年12月16日公布,廢止理由;立法歷程
01047,法務部廉政署組織法,中華民國100年4月1日制定;中華民國100年4月20日公布,異動條文及理由;立法歷程
01049,行政院體育委員會組織條例,中華民國86年12月30日制定;中華民國87年1月12日公布,異動條文及理由;立法歷程
01049,行政院體育委員會組織條例,中華民國102年12月31日廢止;中華民國103年1月15日公布,廢止理由;立法歷程
01050,中央行政機關組織基準法,中華民國93年6月11日制定;中華民國93年6月23日公布,異動條文及理由;立法歷程
01050,中央行政機關組織基準法,中華民國97年6月12日修正;中華民國97年7月2日公布,異動條文及理由;立法歷程
01050,中央行政機關組織基準法,中華民國99年1月12日修正;中華民國99年2月3日公布,異動條文及理由;立法歷程
01051,中央政府機關總員額法,中華民國99年1月12日制定;中華民國99年2月3日公布,異動條文及理由;立法歷程
01054,行政院客家委員會組織條例,中華民國90年5月4日制定;中華民國90年5月16日公布,異動條文及理由;立法歷程
01054,行政院客家委員會組織條例,中華民國104年12月1日廢止;中華民國104年12月16日公布,廢止理由;立法歷程
01056,行政院原住民族委員會文化園區管理局組織條例,中華民國91年1月4日制定;中華民國91年1月30日公布,異動條文及理由;立法歷程
01057,行政院人事行政局地方行政研習中心組織條例,中華民國91年6月4日制定;中華民國91年6月26日公布,異動條文及理由;立法歷程
01057,行政院人事行政局地方行政研習中心組織條例,中華民國103年5月30日廢止;中華民國103年6月18日公布,廢止理由;立法歷程
01059,檔案管理局組織條例,中華民國90年10月4日制定;中華民國90年10月24日公布,異動條文及理由;立法歷程
01059,檔案管理局組織條例,中華民國104年5月5日廢止;中華民國104年5月20日公布,廢止理由;立法歷程
01060,中央選舉委員會組織法,中華民國98年5月22日制定;中華民國98年6月10日公布,異動條文及理由;立法歷程
01061,行政院功能業務與組織調整暫行條例,中華民國99年1月12日制定;中華民國99年2月3日公布,異動條文及理由;立法歷程
01061,行政院功能業務與組織調整暫行條例,中華民國103年12月30日修正;中華民國104年1月14日公布,異動條文及理由;立法歷程
01061,行政院功能業務與組織調整暫行條例,中華民國104年12月8日修正;中華民國104年12月23日公布,異動條文及理由;立法歷程
01061,行政院功能業務與組織調整暫行條例,中華民國106年12月8日修正;中華民國106年12月27日公布,異動條文及理由;立法歷程
01062,行政院農業委員會農業金融局組織條例,中華民國92年12月30日制定;中華民國93年1月14日公布,異動條文及理由;立法歷程
01063,國家通訊傳播委員會組織法,中華民國94年10月25日制定;中華民國94年11月9日公布,異動條文及理由;立法歷程
01063,國家通訊傳播委員會組織法,中華民國96年12月20日修正;中華民國97年1月9日公布,異動條文及理由;立法歷程
01063,國家通訊傳播委員會組織法,中華民國100年12月14日全文修正;中華民國100年12月28日公布,異動條文及理由;立法歷程
01065,國家運輸安全調查委員會組織法,中華民國100年10月28日制定;中華民國100年11月14日公布,異動條文及理由;立法歷程
01065,國家運輸安全調查委員會組織法,中華民國108年4月2日全文修正;中華民國108年4月24日公布,異動條文及理由;立法歷程
01070,國際機場園區發展條例,中華民國98年1月12日制定;中華民國98年1月23日公布,異動條文及理由;立法歷程
01070,國際機場園區發展條例,中華民國103年1月14日修正;中華民國103年1月29日公布,異動條文及理由;立法歷程
01070,國際機場園區發展條例,中華民國107年12月28日修正;中華民國108年1月16日公布,異動條文及理由;立法歷程
01071,客家委員會組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01073,大陸委員會組織法,中華民國107年5月22日制定;中華民國107年6月13日公布,異動條文及理由;立法歷程
01074,國軍退除役官兵輔導委員會組織法,中華民國102年6月18日制定;中華民國102年7月3日公布,異動條文及理由;立法歷程
01076,原住民族委員會組織法,中華民國103年1月14日制定;中華民國103年1月29日公布,異動條文及理由;立法歷程
01077,原住民族委員會原住民族文化發展中心組織法,中華民國104年12月1日制定;中華民國104年12月16日公布,異動條文及理由;立法歷程
01078,行政院人事行政總處組織法,中華民國100年10月28日制定;中華民國100年11月14日公布,異動條文及理由;立法歷程
01079,行政院人事行政總處公務人力發展中心組織法,中華民國100年10月28日制定;中華民國100年11月14日公布,異動條文及理由;立法歷程
01079,行政院人事行政總處公務人力發展中心組織法,中華民國106年12月8日廢止;中華民國106年12月27日公布,廢止理由;立法歷程
01080,行政院人事行政總處地方行政研習中心組織法,中華民國100年10月28日制定;中華民國100年11月14日公布,異動條文及理由;立法歷程
01080,行政院人事行政總處地方行政研習中心組織法,中華民國106年12月8日廢止;中華民國106年12月27日公布,廢止理由;立法歷程
01081,榮民總醫院組織通則,中華民國102年6月18日制定;中華民國102年7月3日公布,異動條文及理由;立法歷程
01082,行政院主計總處組織法,中華民國101年1月20日制定;中華民國101年2月3日公布,異動條文及理由;立法歷程
01083,國家發展委員會組織法,中華民國102年8月6日制定;中華民國102年8月21日公布,異動條文及理由;立法歷程
01084,國家發展委員會檔案管理局組織法,中華民國102年8月6日制定;中華民國102年8月21日公布,異動條文及理由;立法歷程
01085,國家災害防救科技中心設置條例,中華民國103年1月7日制定;中華民國103年1月22日公布,異動條文及理由;立法歷程
01086,國家表演藝術中心設置條例,中華民國103年1月9日制定;中華民國103年1月29日公布,異動條文及理由;立法歷程
01087,駐外機構組織通則,中華民國101年1月20日制定;中華民國101年2月3日公布,異動條文及理由;立法歷程
01087,駐外機構組織通則,中華民國107年5月22日修正;中華民國107年6月13日公布,異動條文及理由;立法歷程
01088,海洋委員會組織法,中華民國104年6月16日制定;中華民國104年7月1日公布,異動條文及理由;立法歷程
01089,海洋委員會海巡署組織法,中華民國104年6月16日制定;中華民國104年7月1日公布,異動條文及理由;立法歷程
01090,文化部組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01091,文化部影視及流行音樂產業局組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01092,國立國父紀念館組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01093,國立中正紀念堂管理處組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01094,國立歷史博物館組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01095,國立臺灣美術館組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01096,國立臺灣工藝研究發展中心組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01097,國立臺灣博物館組織法,中華民國100年6月14日制定;中華民國100年6月29日公布,異動條文及理由;立法歷程
01098,公平交易委員會組織法,中華民國100年10月28日制定;中華民國100年11月14日公布,異動條文及理由;立法歷程
01101,內政部警政署組織條例,中華民國60年11月2日制定;中華民國60年11月17日公布,異動條文及理由;立法歷程
