主分類,次分類,狀態,代碼,法條名稱
,,,01923,科技產業園區設置管理條例
,,,02902,文化藝術獎助及促進條例
主計,主計事務,現行,01023,行政院主計處組織法
主計,主計事務,現行,01082,行政院主計總處組織法
主計,主計事務,現行,02305,主計機構人員設置管理條例
主計,主計事務,現行,02306,行政院主計處電子處理資料中心組織條例
主計,主計事務,廢止,90088,地方政府暨所屬機關主計機構及人員設置條例
主計,主計事務,廢止,90089,主計人員任用條例
主計,主計事務,廢止,90090,行政院主計處設置各機關歲計會計統計人員條例
主計,全國統計,現行,02304,統計法
主計,會計,現行,01584,會計師法
主計,會計,現行,01587,記帳士法
主計,會計,現行,01932,商業會計法
主計,會計,現行,02303,會計法
主計,決算,現行,02302,決算法
主計,預算,現行,01754,教育經費編列與管理法
主計,預算,現行,02301,預算法
主計,預算,廢止,02309,中央政府預算執行暫行條例
主計,預算,現行,04667,公務人員退休撫卹基金管理條例
主計,預算,現行,04668,公務人員退休撫卹基金監理委員會組織條例
主計,預算,現行,04671,公務人員退休撫卹基金管理委員會組織條例
主計,預算,現行,04819,地方民意代表費用支給及村里長事務補助費補助條例
主計,預算,現行,05144,警察消防海巡移民空勤人員及協勤民力安全基金設置管理條例
主計,預算,廢止,90115,中華民國五十二年度中央政府總預算施行條例
主計,預算,廢止,90116,中華民國五十三年度中央政府總預算施行條例
主計,預算,廢止,90117,中華民國五十四年度中央政府總預算施行條例
主計,預算,廢止,90118,中華民國五十五年度中央政府總預算施行條例
主計,預算,廢止,90119,中華民國五十六年度中央政府總預算施行條例
主計,預算,廢止,90120,中華民國五十七年度中央政府總預算施行條例
主計,預算,廢止,90121,中華民國五十八年度中央政府總預算施行條例
主計,預算,廢止,90122,中華民國五十九年度中央政府總預算施行條例
主計,預算,廢止,90123,中華民國六十年度中央政府總預算施行條例
主計,預算,廢止,90124,中華民國六十一年度中央政府總預算施行條例
主計,預算,廢止,90125,中華民國六十二年度中央政府總預算施行條例
主計,預算,廢止,90126,中華民國六十三年度中央政府總預算施行條例
主計,預算,廢止,90127,中華民國六十四年度中央政府總預算施行條例
主計,預算,廢止,90128,中華民國六十五年度中央政府總預算施行條例
主計,預算,廢止,90129,中華民國六十六年度中央政府總預算施行條例
主計,預算,廢止,90130,中華民國六十七年度中央政府總預算施行條例
主計,預算,廢止,90131,中華民國六十八年度中央政府總預算施行條例
主計,預算,廢止,90132,中華民國六十九年度中央政府總預算施行條例
主計,預算,廢止,90133,中華民國七十年度中央政府總預算施行條例
主計,預算,廢止,90134,中華民國七十一年度中央政府總預算施行條例
主計,預算,廢止,90135,中華民國七十二年度中央政府總預算執行條例
主計,預算,廢止,90136,中華民國七十三年度中央政府總預算執行條例
主計,預算,廢止,90137,中華民國七十四年度中央政府總預算執行條例
主計,預算,廢止,90138,中華民國七十五年度中央政府總預算執行條例
主計,預算,廢止,90139,中華民國七十六年度中央政府總預算執行條例
主計,預算,廢止,90140,中華民國七十七年度中央政府總預算執行條例
主計,預算,廢止,90141,中華民國七十八年度中央政府總預算執行條例
主計,預算,廢止,90142,中華民國七十九年度中央政府總預算執行條例
主計,預算,廢止,90143,中華民國八十年度中央政府總預算執行條例
主計,預算,廢止,90144,中華民國八十一年度中央政府總預算執行條例
主計,預算,廢止,90145,中華民國八十二年度中央政府總預算執行條例
主計,預算,廢止,90146,中華民國八十三年度中央政府總預算執行條例
交通建設,交通政務,現行,01020,交通部組織法
交通建設,交通政務,現行,01065,國家運輸安全調查委員會組織法
交通建設,交通政務,廢止,01648,擴大公共建設振興經濟暫行條例
交通建設,交通政務,廢止,01651,擴大公共建設投資特別條例
交通建設,交通政務,廢止,01662,振興經濟擴大公共建設特別條例
交通建設,交通政務,廢止,01935,民營公用事業監督條例
交通建設,交通政務,現行,01958,促進民間參與公共建設法
交通建設,交通政務,現行,01963,獎勵民間參與交通建設條例
交通建設,交通政務,廢止,02024,戰時交通電業設備及器材防護條例
交通建設,交通政務,現行,02084,運輸事故調查法
交通建設,交通政務,現行,02090,電子票證發行管理條例
交通建設,交通政務,現行,04626,交通事業人員任用條例
交通建設,交通政務,現行,04686,交通事業人員考成條例
交通建設,交通政務,停止適用,90176,上海市災區復興公債條例
交通建設,交通政務,停止適用,90179,民國二十一年湖北省善後公債條例
交通建設,交通政務,停止適用,90186,民國二十五年青島市建設公債條例
交通建設,交通政務,停止適用,90189,民國二十四年漢口市建設公債條例
交通建設,交通政務,停止適用,90190,民國二十四年廣東省建設公債條例
交通建設,交通政務,停止適用,90191,民國二十年四川省善後公債條例
交通建設,交通政務,停止適用,90202,河南省民國二十年善後公債條例
交通建設,公路,現行,01162,市區道路條例
交通建設,公路,廢止,01222,內政部警政署國道公路警察局組織條例
交通建設,公路,現行,01571,中央政府興建臺灣區高速公路第一期工程建設公債發行條例
交通建設,公路,現行,01597,中央政府興建臺灣北部區域第二高速公路建設公債發行條例
交通建設,公路,廢止,02001,交通部公路總局組織法
交通建設,公路,現行,02002,交通部臺灣區國道高速公路局組織條例
交通建設,公路,現行,02016,公路法
交通建設,公路,現行,02017,道路交通管理處罰條例
交通建設,公路,現行,02034,停車場法
交通建設,公路,現行,02050,交通部公路總局組織法
交通建設,公路,現行,02051,交通部公路總局各區養護工程處組織通則
交通建設,公路,現行,02052,交通部公路總局各區監理所組織通則
交通建設,公路,現行,02053,交通部公路總局材料試驗所組織條例
交通建設,公路,現行,06820,交通部高速公路局組織法
交通建設,公路,廢止,90075,交通部交通技術標準委員會組織條例
交通建設,公路,停止適用,90182,民國二十三年玉萍鐵路公債條例
交通建設,公路,停止適用,90200,民國三十年滇緬鐵路金公債條例
交通建設,公路,停止適用,90208,鐵道部收回廣東粵漢鐵路公債條例
交通建設,公路,停止適用,90209,廣東省政府短期金庫券條例
交通建設,工程管理,現行,01040,行政院公共工程委員會組織條例
