主分類,次分類,狀態,代碼,法條名稱
交通建設,工程管理,現行,01163,工程受益費徵收條例
交通建設,工程管理,現行,01931,技師法
交通建設,工程管理,現行,04001,工程技術顧問公司管理條例
交通建設,工程管理,現行,04003,前瞻基礎建設特別條例
交通建設,海運,現行,01436,海上捕獲條例
交通建設,海運,廢止,01576,興建臺中港第一期工程建設公債發行條例
交通建設,海運,廢止,01577,興建臺中港第二期工程建設公債發行條例
交通建設,海運,廢止,01578,興建臺中港第三期工程建設公債發行條例
交通建設,海運,現行,02009,交通部航政局組織法
交通建設,海運,現行,02025,航業法
交通建設,海運,現行,02026,船舶法
交通建設,海運,現行,02027,船舶登記法
交通建設,海運,現行,02028,商港法
交通建設,海運,現行,02029,航路標識條例
交通建設,海運,現行,02030,引水法
交通建設,海運,現行,02036,船員法
交通建設,海運,現行,04519,海商法
交通建設,海運,廢止,90022,造船獎勵條例
交通建設,海運,廢止,90033,船舶無線電台條例
交通建設,海運,廢止,90067,商港條例
交通建設,港埠,現行,02028,商港法
交通建設,港埠,現行,02029,航路標識條例
交通建設,港埠,現行,02030,引水法
交通建設,港埠,廢止,02054,交通部基隆港務局組織條例
交通建設,港埠,現行,02055,交通部基隆港務局棧埠管理處組織條例
交通建設,港埠,現行,02056,交通部基隆港務局港埠工程處組織條例
交通建設,港埠,現行,02057,交通部基隆港務局船舶機械修造工廠組織條例
交通建設,港埠,現行,02058,交通部基隆港務局蘇澳港分局組織條例
交通建設,港埠,現行,02059,交通部基隆港務局船舶管理所組織條例
交通建設,港埠,現行,02060,交通部基隆港務局臺北港分局組織條例
交通建設,港埠,廢止,02061,交通部臺中港務局組織條例
交通建設,港埠,現行,02062,交通部臺中港務局棧埠管理處組織條例
交通建設,港埠,現行,02063,交通部臺中港務局港埠工程處組織條例
交通建設,港埠,現行,02064,交通部臺中港務局船舶機械修造工廠組織條例
交通建設,港埠,廢止,02065,交通部高雄港務局組織條例
交通建設,港埠,現行,02066,交通部高雄港務局棧埠管理處組織條例
交通建設,港埠,現行,02067,交通部高雄港務局港埠工程處組織條例
交通建設,港埠,現行,02068,交通部高雄港務局船舶機械修造工廠組織條例
交通建設,港埠,現行,02069,交通部高雄港務局安平港分局組織條例
交通建設,港埠,現行,02070,交通部高雄港務局各地辦事處組織通則
交通建設,港埠,廢止,02071,交通部花蓮港務局組織條例
交通建設,港埠,現行,02072,交通部花蓮港務局港埠工程處組織條例
交通建設,港埠,現行,02073,交通部花蓮港務局棧埠管理處組織條例
交通建設,港埠,現行,02203,國營港務股份有限公司設置條例
交通建設,港埠,廢止,05111,內政部警政署港務警察局組織通則
交通建設,港埠,現行,08108,自由貿易港區設置管理條例
交通建設,港埠,廢止,90067,商港條例
交通建設,營建,現行,01070,國際機場園區發展條例
交通建設,營建,現行,01102,內政部營建署組織條例
交通建設,營建,現行,01156,區域計畫法
交通建設,營建,現行,01158,建築法
交通建設,營建,現行,01159,建築師法
交通建設,營建,廢止,01160,國民住宅條例
交通建設,營建,現行,01161,都市計畫法
交通建設,營建,現行,01165,下水道法
交通建設,營建,現行,01186,營造業法
交通建設,營建,現行,01187,公寓大廈管理條例
交通建設,營建,現行,01191,都市更新條例
交通建設,營建,現行,01194,新市鎮開發條例
交通建設,營建,現行,01195,都市危險及老舊建築物加速重建條例
交通建設,營建,現行,01207,租賃住宅市場發展及管理條例
交通建設,營建,廢止,01239,內政部建築研究所組織條例
交通建設,營建,現行,01249,共同管道法
交通建設,營建,現行,01290,住宅法
交通建設,營建,現行,02037,公營大眾捷運股份有限公司設置管理條例
交通建設,營建,現行,02043,大眾運輸工具播音語言平等保障法
交通建設,營建,現行,05143,公共場所母乳哺育條例
交通建設,營建,現行,05180,內政部建築研究所組織法
交通建設,營建,現行,06821,國家住宅及都市更新中心設置條例
交通建設,營建,廢止,90075,交通部交通技術標準委員會組織條例
交通建設,營建,廢止,90087,興建國民住宅貸款條例
交通建設,營建,停止適用,90196,民國十八年南京特別市特種建設公債條例
交通建設,空運,現行,01065,國家運輸安全調查委員會組織法
交通建設,空運,現行,01070,國際機場園區發展條例
交通建設,空運,廢止,01447,漢翔航空工業股份有限公司設置條例
交通建設,空運,現行,02010,交通部民用航空局組織條例
交通建設,空運,現行,02031,民用航空法
交通建設,空運,現行,02039,交通部民用航空局飛航服務總臺組織條例
交通建設,空運,現行,02044,交通部民用航空局民航人員訓練所組織條例
交通建設,空運,現行,02075,交通部民用航空局所屬航空站組織通則
交通建設,空運,現行,02084,運輸事故調查法
交通建設,空運,現行,02092,國營國際機場園區股份有限公司設置條例
交通建設,空運,廢止,90022,造船獎勵條例
交通建設,運輸規劃,現行,01065,國家運輸安全調查委員會組織法
交通建設,運輸規劃,現行,02013,交通部運輸研究所組織條例
交通建設,運輸規劃,現行,02033,大眾捷運法
交通建設,運輸規劃,現行,02074,發展大眾運輸條例
交通建設,運輸規劃,現行,02084,運輸事故調查法
交通建設,郵政,廢止,01431,戡亂時期郵電抽查條例
交通建設,郵政,廢止,02004,交通部郵政總局組織法
交通建設,郵政,廢止,02005,交通部郵政總局郵區管理局組織通則
交通建設,郵政,廢止,02006,郵政儲金匯業局組織法
交通建設,郵政,現行,02019,郵政法
交通建設,郵政,廢止,02020,郵政國內匯兌法
交通建設,郵政,廢止,02021,郵政儲金法
交通建設,郵政,現行,02022,簡易人壽保險法
交通建設,郵政,現行,02049,交通部郵電事業人員退休撫卹條例
交通建設,郵政,現行,02077,郵政儲金匯兌法
交通建設,郵政,現行,02078,中華郵政股份有限公司設置條例
交通建設,鐵路,現行,01162,市區道路條例
交通建設,鐵路,現行,01552,民國二十三年第一期鐵路建設公債條例
交通建設,鐵路,現行,01553,第二期鐵路建設公債條例
交通建設,鐵路,現行,01554,第三期鐵路建設公債條例
交通建設,鐵路,現行,01556,民國二十六年京贛鐵路建設公債條例
交通建設,鐵路,廢止,01579,臺灣鐵路電氣化工程建設公債發行條例
交通建設,鐵路,現行,02014,鐵路法
交通建設,鐵路,現行,02015,鐵路軍事運輸條例
交通建設,鐵路,現行,02080,交通部臺灣鐵路管理局組織條例
交通建設,鐵路,現行,02081,交通部臺灣鐵路管理局所屬分支機構組織通則
交通建設,鐵路,現行,02083,交通部臺灣鐵路管理局各機廠組織通則
交通建設,鐵路,現行,02085,交通部臺灣鐵路管理局餐旅服務總所組織條例
交通建設,鐵路,現行,02086,交通部臺灣鐵路管理局貨運服務總所組織條例
交通建設,鐵路,現行,06810,交通部鐵道局組織法
交通建設,鐵路,現行,07136,財團法人鐵道技術研究及驗證中心設置條例
交通建設,鐵路,廢止,90075,交通部交通技術標準委員會組織條例
交通建設,鐵路,廢止,90097,中央政府興建臺灣區高速公路第二期工程建設公債發行條例
交通建設,電信,現行,01063,國家通訊傳播委員會組織法
交通建設,電信,廢止,01431,戡亂時期郵電抽查條例
交通建設,電信,現行,01827,通訊保障及監察法
交通建設,電信,廢止,02007,交通部電信總局組織條例
交通建設,電信,廢止,02008,交通部電信總局所屬各區電信管理局組織通則
交通建設,電信,現行,02023,電信法
交通建設,電信,廢止,02024,戰時交通電業設備及器材防護條例
交通建設,電信,廢止,02041,中華電信股份有限公司條例
交通建設,電信,現行,02049,交通部郵電事業人員退休撫卹條例
交通建設,電信,現行,02417,通訊傳播基本法
交通建設,電信,現行,07118,電信管理法
交通建設,電信,廢止,90033,船舶無線電台條例
交通建設,電信,廢止,90168,電話電報臨時捐徵收條例
人事其他,人事事務,廢止,01033,行政院人事行政局組織條例
人事其他,人事事務,廢止,01057,行政院人事行政局地方行政研習中心組織條例
人事其他,人事事務,現行,01078,行政院人事行政總處組織法
人事其他,人事事務,廢止,01079,行政院人事行政總處公務人力發展中心組織法
人事其他,人事事務,廢止,01080,行政院人事行政總處地方行政研習中心組織法
人事其他,人事事務,現行,01167,警察人員人事條例
人事其他,人事事務,現行,02557,醫事人員人事條例
人事其他,人事事務,現行,03302,行政院人事行政總處公務人力發展學院組織法
人事其他,人事事務,現行,04652,人事管理條例
人事其他,人事事務,現行,04654,公務員服務法
人事其他,人事事務,現行,04655,公務人員交代條例
人事其他,人事事務,現行,04664,公務人員保障法
人事其他,人事事務,現行,04673,公務人員行政中立法
人事其他,人事事務,現行,04685,政務人員退職撫卹條例
人事其他,人事事務,現行,04902,宣誓條例
人事其他,國內新聞,現行,01024,行政院新聞局組織條例
人事其他,國內新聞,廢止,02404,新聞記者法
人事其他,國內新聞,現行,02410,中央通訊社設置條例
人事其他,國內新聞,現行,04681,公務人員協會法
人事其他,組織編制,現行,01010,行政院組織法
人事其他,組織編制,現行,01011,內政部組織法
人事其他,組織編制,現行,01013,外交部組織法
人事其他,組織編制,現行,01014,國防部組織法
人事其他,組織編制,現行,01015,財政部組織法
人事其他,組織編制,現行,01017,教育部組織法
人事其他,組織編制,現行,01018,法務部組織法
人事其他,組織編制,現行,01019,經濟部組織法
人事其他,組織編制,現行,01020,交通部組織法
人事其他,組織編制,廢止,01021,蒙藏委員會組織法
人事其他,組織編制,現行,01022,僑務委員會組織法
人事其他,組織編制,現行,01023,行政院主計處組織法
人事其他,組織編制,現行,01024,行政院新聞局組織條例
人事其他,組織編制,廢止,01025,行政院衛生署組織法
人事其他,組織編制,廢止,01026,行政院國軍退除役官兵輔導委員會組織條例
人事其他,組織編制,現行,01027,行政院原子能委員會組織條例
人事其他,組織編制,廢止,01028,行政院國家科學委員會組織條例
人事其他,組織編制,廢止,01029,行政院文化建設委員會組織條例
人事其他,組織編制,廢止,01030,行政院青年輔導委員會組織條例
人事其他,組織編制,現行,01031,行政院農業委員會組織條例
人事其他,組織編制,廢止,01032,行政院經濟建設委員會組織條例
人事其他,組織編制,廢止,01033,行政院人事行政局組織條例
人事其他,組織編制,廢止,01034,行政院研究發展考核委員會組織條例
人事其他,組織編制,現行,01035,國立故宮博物院組織法
人事其他,組織編制,廢止,01036,行政院勞工委員會組織條例
人事其他,組織編制,現行,01037,行政院環境保護署組織條例
人事其他,組織編制,現行,01039,行政院大陸委員會組織條例
人事其他,組織編制,現行,01040,行政院公共工程委員會組織條例
人事其他,組織編制,廢止,01041,行政院公平交易委員會組織條例
人事其他,組織編制,廢止,01046,行政院原住民族委員會組織條例
人事其他,組織編制,現行,01047,法務部廉政署組織法
人事其他,組織編制,廢止,01049,行政院體育委員會組織條例
人事其他,組織編制,現行,01050,中央行政機關組織基準法
人事其他,組織編制,現行,01051,中央政府機關總員額法
人事其他,組織編制,廢止,01054,行政院客家委員會組織條例
人事其他,組織編制,現行,01056,行政院原住民族委員會文化園區管理局組織條例
人事其他,組織編制,廢止,01057,行政院人事行政局地方行政研習中心組織條例
人事其他,組織編制,廢止,01059,檔案管理局組織條例
人事其他,組織編制,現行,01060,中央選舉委員會組織法
人事其他,組織編制,現行,01061,行政院功能業務與組織調整暫行條例
人事其他,組織編制,現行,01062,行政院農業委員會農業金融局組織條例
人事其他,組織編制,現行,01063,國家通訊傳播委員會組織法
人事其他,組織編制,現行,01065,國家運輸安全調查委員會組織法
人事其他,組織編制,現行,01071,客家委員會組織法
人事其他,組織編制,現行,01073,大陸委員會組織法
人事其他,組織編制,現行,01074,國軍退除役官兵輔導委員會組織法
人事其他,組織編制,現行,01076,原住民族委員會組織法
人事其他,組織編制,現行,01077,原住民族委員會原住民族文化發展中心組織法
人事其他,組織編制,現行,01078,行政院人事行政總處組織法
人事其他,組織編制,廢止,01079,行政院人事行政總處公務人力發展中心組織法
人事其他,組織編制,廢止,01080,行政院人事行政總處地方行政研習中心組織法
人事其他,組織編制,現行,01081,榮民總醫院組織通則
人事其他,組織編制,現行,01082,行政院主計總處組織法
人事其他,組織編制,現行,01083,國家發展委員會組織法
人事其他,組織編制,現行,01084,國家發展委員會檔案管理局組織法
人事其他,組織編制,現行,01085,國家災害防救科技中心設置條例
人事其他,組織編制,現行,01086,國家表演藝術中心設置條例
人事其他,組織編制,現行,01087,駐外機構組織通則
人事其他,組織編制,現行,01088,海洋委員會組織法
人事其他,組織編制,現行,01089,海洋委員會海巡署組織法
人事其他,組織編制,現行,01090,文化部組織法
人事其他,組織編制,現行,01091,文化部影視及流行音樂產業局組織法
人事其他,組織編制,現行,01092,國立國父紀念館組織法
人事其他,組織編制,現行,01093,國立中正紀念堂管理處組織法
人事其他,組織編制,現行,01094,國立歷史博物館組織法
人事其他,組織編制,現行,01095,國立臺灣美術館組織法
人事其他,組織編制,現行,01096,國立臺灣工藝研究發展中心組織法
人事其他,組織編制,現行,01097,國立臺灣博物館組織法
人事其他,組織編制,現行,01098,公平交易委員會組織法
人事其他,組織編制,廢止,01101,內政部警政署組織條例
人事其他,組織編制,現行,01102,內政部營建署組織條例
人事其他,組織編制,廢止,01103,國家公園管理處組織通則
人事其他,組織編制,廢止,01104,行政院勞工委員會職業訓練局組織條例
人事其他,組織編制,廢止,01105,行政院勞工委員會職業訓練局職業訓練中心組織通則
人事其他,組織編制,廢止,01106,省警務處組織法
人事其他,組織編制,廢止,01107,省保安警察隊組織條例
人事其他,組織編制,現行,01108,中央警察大學組織條例
人事其他,組織編制,廢止,01109,各省市警察學校組織通則
人事其他,組織編制,現行,01202,臺灣警察專科學校組織條例
人事其他,組織編制,廢止,01209,內政部警政署保安警察總隊組織通則
人事其他,組織編制,廢止,01215,行政院海岸巡防署組織法
人事其他,組織編制,廢止,01220,內政部警政署國家公園警察大隊組織條例
人事其他,組織編制,廢止,01221,內政部警政署刑事警察局組織條例
人事其他,組織編制,廢止,01222,內政部警政署國道公路警察局組織條例
人事其他,組織編制,現行,01231,國家風景區管理處組織通則
人事其他,組織編制,現行,01236,內政部消防署組織條例
人事其他,組織編制,廢止,01239,內政部建築研究所組織條例
人事其他,組織編制,廢止,01250,內政部兒童局組織條例
人事其他,組織編制,廢止,01251,內政部警政署航空警察局組織條例
人事其他,組織編制,廢止,01252,內政部警政署警察電訊所組織條例
人事其他,組織編制,廢止,01257,內政部警政署水上警察局組織條例
人事其他,組織編制,現行,01260,內政部移民署組織法
人事其他,組織編制,廢止,01279,行政院海岸巡防署海洋巡防總局組織條例
人事其他,組織編制,廢止,01280,行政院海岸巡防署海岸巡防總局各地區巡防局組織通則
人事其他,組織編制,廢止,01281,行政院海岸巡防署海岸巡防總局組織條例
人事其他,組織編制,廢止,01286,內政部役政署組織條例
人事其他,組織編制,現行,01296,內政部消防署港務消防隊組織通則
人事其他,組織編制,現行,01301,駐外使領館組織條例
人事其他,組織編制,現行,01302,外交部外交領事人員講習所組織條例
人事其他,組織編制,現行,01307,外交部領事事務局組織條例
人事其他,組織編制,現行,01308,外交部外交及國際事務學院組織法
人事其他,組織編制,現行,01314,外交部領事事務局組織法
人事其他,組織編制,廢止,01401,國防部參謀本部組織條例（民國67年）
人事其他,組織編制,廢止,01458,國防部主計局組織條例
人事其他,組織編制,廢止,01460,國防部總政治作戰局組織條例
人事其他,組織編制,廢止,01464,國防部軍備局組織條例
人事其他,組織編制,廢止,01465,國防部軍醫局組織條例
人事其他,組織編制,現行,01475,國家中山科學研究院設置條例
人事其他,組織編制,現行,01477,國防部政治作戰局組織法
人事其他,組織編制,現行,01478,國防部軍備局組織法
人事其他,組織編制,現行,01479,國防部軍醫局組織法
人事其他,組織編制,現行,01480,國防部主計局組織法
人事其他,組織編制,現行,01481,國防部參謀本部組織法
人事其他,組織編制,現行,01501,財政部國庫署組織條例
人事其他,組織編制,現行,01502,財政部賦稅署組織條例
人事其他,組織編制,現行,01503,財政部國有財產局組織條例
人事其他,組織編制,現行,01504,財政部各地區國稅局組織通則
人事其他,組織編制,現行,01505,財政部各地區支付處組織通則
人事其他,組織編制,現行,01506,財政部財稅人員訓練所組織條例
人事其他,組織編制,現行,01507,財政部證券暨期貨管理委員會組織條例
人事其他,組織編制,現行,01537,中央信託局條例
人事其他,組織編制,現行,01586,財政部關稅總局組織條例
人事其他,組織編制,現行,01589,財政部財稅資料中心組織條例
人事其他,組織編制,現行,01605,財政部關稅總局各地區關稅局組織通則
人事其他,組織編制,現行,01606,財政部金融局組織條例
人事其他,組織編制,現行,01611,財政部國有財產局各地區辦事處組織通則
人事其他,組織編制,現行,01639,金融監督管理委員會組織法
人事其他,組織編制,現行,01656,金融監督管理委員會銀行局組織法
人事其他,組織編制,現行,01657,金融監督管理委員會證券期貨局組織法
人事其他,組織編制,現行,01658,金融監督管理委員會保險局組織法
人事其他,組織編制,現行,01659,金融監督管理委員會檢查局組織法
人事其他,組織編制,現行,01670,財政部關務署組織法
人事其他,組織編制,現行,01671,財政部國有財產署組織法
人事其他,組織編制,現行,01672,財政部財政資訊中心組織法
人事其他,組織編制,現行,01674,財政部國庫署組織法
人事其他,組織編制,現行,01675,財政部賦稅署組織法
人事其他,組織編制,廢止,01700,教育部國民體育委員會組織條例
人事其他,組織編制,廢止,01701,教育部教育研究委員會組織條例
人事其他,組織編制,廢止,01702,教育部學術審議委員會組織條例
人事其他,組織編制,廢止,01703,教育部訓育委員會組織條例
人事其他,組織編制,廢止,01704,教育部國語推行委員會組織條例
人事其他,組織編制,廢止,01705,教育部醫學教育委員會組織條例
人事其他,組織編制,廢止,01706,國立編譯館組織條例
人事其他,組織編制,廢止,01707,國立教育資料館組織條例
人事其他,組織編制,廢止,01708,國家圖書館組織條例
人事其他,組織編制,廢止,01709,國立歷史博物館組織條例
人事其他,組織編制,廢止,01710,國立臺灣科學教育館組織條例
人事其他,組織編制,廢止,01732,國立中正紀念堂管理處組織條例
人事其他,組織編制,廢止,01733,國立國父紀念館組織條例
人事其他,組織編制,廢止,01736,國立中央圖書館臺灣分館組織條例
人事其他,組織編制,廢止,01737,國立臺灣藝術教育館組織條例
人事其他,組織編制,廢止,01738,國立自然科學博物館組織條例
人事其他,組織編制,廢止,01739,國立中正文化中心設置條例
人事其他,組織編制,現行,01745,國立科學工藝博物館組織法
人事其他,組織編制,現行,01756,國立海洋生物博物館組織法
人事其他,組織編制,現行,01764,國史館臺灣文獻館組織條例
人事其他,組織編制,現行,01770,國家教育研究院組織法
人事其他,組織編制,現行,01771,國家運動訓練中心設置條例
人事其他,組織編制,現行,01782,教育部體育署組織法
人事其他,組織編制,現行,01783,教育部國民及學前教育署組織法
人事其他,組織編制,現行,01784,國立公共資訊圖書館組織法
人事其他,組織編制,現行,01785,國立傳統藝術中心組織法
人事其他,組織編制,現行,01789,國家圖書館組織法
人事其他,組織編制,現行,01791,國立自然科學博物館組織法
人事其他,組織編制,現行,01793,國立臺灣科學教育館組織法
人事其他,組織編制,現行,01794,國立臺灣圖書館組織法
人事其他,組織編制,現行,01795,教育部青年發展署組織法
人事其他,組織編制,現行,01801,法務部調查局組織法
人事其他,組織編制,現行,01802,法務部調查局幹部訓練所組織條例
人事其他,組織編制,廢止,01803,法務部司法官訓練所組織條例
人事其他,組織編制,廢止,01804,監獄組織通則
人事其他,組織編制,廢止,01805,看守所組織通則
人事其他,組織編制,現行,01819,少年觀護所設置及實施通則
人事其他,組織編制,現行,01820,少年輔育院條例
人事其他,組織編制,廢止,01824,法務部技能訓練所組織條例
人事其他,組織編制,現行,01826,政風機構人員設置管理條例
人事其他,組織編制,廢止,01831,法務部法醫研究所組織條例
人事其他,組織編制,廢止,01832,法務部矯正人員訓練所組織條例
人事其他,組織編制,現行,01840,少年矯正學校設置及教育實施通則
人事其他,組織編制,廢止,01843,法務部戒治所組織通則
人事其他,組織編制,廢止,01848,法務部行政執行署組織條例
人事其他,組織編制,廢止,01849,行政執行處組織通則
人事其他,組織編制,現行,01871,法務部矯正署組織法
人事其他,組織編制,現行,01872,法務部司法官學院組織法
人事其他,組織編制,現行,01876,法務部行政執行署組織法
人事其他,組織編制,現行,01877,法務部法醫研究所組織法
人事其他,組織編制,現行,01901,經濟部中央地質調查所組織條例
人事其他,組織編制,現行,01903,經濟部工業局組織條例
人事其他,組織編制,廢止,01904,經濟部中央標準局組織條例
人事其他,組織編制,現行,01905,經濟部加工出口區管理處組織條例
人事其他,組織編制,現行,01906,經濟部加工出口區管理處所屬各分處組織通則
人事其他,組織編制,現行,01907,工業技術研究院設置條例
人事其他,組織編制,現行,01908,中華經濟研究院設置條例
人事其他,組織編制,現行,01909,經濟部國際貿易局組織條例
人事其他,組織編制,現行,01910,經濟部國際貿易局所屬各辦事處組織通則
人事其他,組織編制,廢止,01911,經濟部商品檢驗局組織條例
人事其他,組織編制,廢止,01912,經濟部商品檢驗局所屬各分局組織通則
人事其他,組織編制,廢止,01913,經濟部水資源統一規劃委員會組織條例
人事其他,組織編制,現行,01914,經濟部中小企業處組織條例
人事其他,組織編制,廢止,01969,經濟部水資源局組織條例
人事其他,組織編制,現行,01977,經濟部智慧財產局組織條例
人事其他,組織編制,現行,01978,經濟部標準檢驗局組織條例
人事其他,組織編制,現行,01984,經濟部標準檢驗局所屬各分局組織通則
人事其他,組織編制,現行,01992,經濟部水利署臺北水源特定區管理局組織條例
人事其他,組織編制,現行,01993,經濟部水利署各區水資源局組織通則
人事其他,組織編制,現行,01994,經濟部水利署各河川局組織通則
人事其他,組織編制,現行,01995,經濟部水利署水利規劃試驗所組織條例
人事其他,組織編制,現行,01996,經濟部水利署組織條例
人事其他,組織編制,廢止,02001,交通部公路總局組織法
人事其他,組織編制,現行,02002,交通部臺灣區國道高速公路局組織條例
人事其他,組織編制,現行,02003,交通部觀光局組織條例
人事其他,組織編制,廢止,02004,交通部郵政總局組織法
人事其他,組織編制,廢止,02005,交通部郵政總局郵區管理局組織通則
人事其他,組織編制,廢止,02006,郵政儲金匯業局組織法
人事其他,組織編制,廢止,02007,交通部電信總局組織條例
人事其他,組織編制,廢止,02008,交通部電信總局所屬各區電信管理局組織通則
人事其他,組織編制,現行,02009,交通部航政局組織法
人事其他,組織編制,現行,02010,交通部民用航空局組織條例
人事其他,組織編制,現行,02011,交通部中央氣象局組織條例
人事其他,組織編制,現行,02012,交通部中央氣象局附屬氣象測報機構組織通則
人事其他,組織編制,現行,02013,交通部運輸研究所組織條例
人事其他,組織編制,現行,02039,交通部民用航空局飛航服務總臺組織條例
